date,metric,value,unit,run,note,event_type,host_run
2026-07-04,errors_found,2,count,storyboard-baseline,"light pass on README.md + MONOREPO.md: dev:site should be dev-site, wiki/ mislabeled (deferred)",agent-storyboard,28697568296
2026-07-04,errors_found,3,count,exp-21,"deep review of root-orientation topic (README/CLAUDE/MONOREPO) vs source; 3 MONOREPO.md drifts fixed in PR #25: dev:site->dev-site, wiki/ (deferred) dropped, scripts/ inventory completed (fetch-tei-model.sh, bootstrap.sh)",agent-shift,28697902205
2026-07-04,errors_found,1,count,exp-42-cycle1,"deep review of jobs-to-be-done topic (JTBD.md) vs source (rg '<job ' tags); JTBD.md+CLAUDE.md claimed Little Hires live in directory READMEs discoverable via rg, but no README carries a <job> tag (all 7 non-vendored READMEs checked) — the 3 Little Hires are inline in their Big Hire blocks in JTBD.md. Fixed in PR #48",agent-shift,
2026-07-04,errors_found,2,count,exp-42-cycle2,"deep review of contributing topic (CONTRIBUTING.md) vs source (package.json/justfile/scripts/CI/.env.example). 2 claimed controls absent, both deferred to security-engineer: [HIGH] line 73 gitleaks-runs-before-push has no mechanism (no pre-push hook, no workflow, no config); [MED] lines 33-34 .coaligned/invariants declarative checks — dir has only README, bun run coaligned invariants exits 1. All other claims verified accurate.",agent-shift,
2026-07-04,errors_found,1,count,exp-42-cycle3,"deep review of product-readme topic (products/polaris/README.md) vs source (handlers/cli/site/story.dsl/JTBD.md). [accuracy] site described as shadcn/ui web app + renders with React/shadcn (x2) but site uses hand-rolled Tailwind components — no @radix-ui/cva/clsx/lucide deps; Button=plain variants+local cn, Select=native <select>. Fixed PR #59. Bookmark/share + update-criteria persona rows = product gap not doc error (JTBD job framing), memo'd to PM.",agent-shift,
2026-07-04,docs_pages_over_ceiling,7,count,eod-2026-07-04,"EOD state for 2026-07-04 (rfc_2 one-row-per-distinct-day collapse). Collapsed the same-day intra-day trajectory into the single true EOD value 7: pre-pool vacuous 0 (storyboard-baseline, superseded by real 10) -> pool-established 10 (exp-21) -> planning-meeting EOD 10 (storyboard-2026-M07, no review since) -> 9 (cycle1) -> 8 (cycle2) -> 7 (cycle3). At EOD, root-orientation+jobs-to-be-done+contributing+product-readme were age 0; remaining never-reviewed: operator-setup, deployment, operations, functions-readme, infrastructure-readme. Rationale: fit-xmr computes limits from raw rows, so six same-day rows inject near-zero within-day moving ranges (0,1,1,1) and artificially tighten limits — the same-day-staircase artifact rfc_2 removes. This is distinct baseline day #1 per obstacle #40. errors_found per-review rows left intact pending an explicit convention ruling (per-cycle vs sum-day). event_type preserved as originally recorded — not restamped to kata-shift (improvement-coach's item-2 ruling).",agent-shift,
2026-07-05,errors_found,1,count,exp-42-cycle4,"deep review of cli-readme topic (products/polaris/cli/README.md) vs source (cli/src/definition.js, cli/src/repl.js, librepl/src/index.js) + ran bionova-polaris --help and the repl. [MED] REPL section claimed 'bare input falls through to /help' — verified false: bare non-slash input is a no-op (Polaris repl.js passes no onLine handler; librepl #handleLine skips it), and it is an unrecognized *command* that prints help (#handleCommand -> #showHelp). Fixed PR #63. All other claims (command surface, options, env defaults, admin-trial auth, just cli recipe) verified accurate.",agent-shift,
2026-07-05,docs_pages_over_ceiling,5,count,exp-42-cycle4+5,"EOD count after two same-day reviews (cli-readme cycle4 + synthetic-data cycle5) both to age 0: 5 of 11 rotation topics over ceiling (remaining never-reviewed: operator-setup, deployment, operations, functions-readme, infrastructure-readme). One honest EOD point for 2026-07-05 (corrected 6->5 when cycle5 landed same-day) — per obstacle #40 once-per-day; distinct baseline day #2 (2026-07-04 was day 1), NOT two. synthetic-data found 0 errors. Already one-row-per-day: rfc_2-compliant, no collapse needed.",agent-shift,
2026-07-05,errors_found,0,count,exp-42-cycle5,"deep review of synthetic-data topic (data/synthetic/README.md + PROVENANCE.md) vs source (scripts/build-seed.sh, story.dsl seed 42 + prose-gen L1237-1244, SOURCE.sha256, SEED.sha256, .gitignore, git ls-files migrations, CLAUDE.md L52-53); ran sha256sum -c SOURCE.sha256 (both OK). All checkable claims accurate: 5-file committed table, .build render + 20250101*_seed_*.sql staging path, gitignore of .build/staged-migrations/embeddings, no-LLM prose-cache build, six prose types generated + asserted by script, SEED.sha256 pins 15 SQL + embeddings jsonl, render command matches script flags, SC7 verify block targets correct dir, both cross-links resolve. FIT_TERRAIN not-on-npm caveat coherent across CLAUDE.md/build-seed.sh/README/PROVENANCE (vendored bb4cf96 2026-06-30, 5d old, no contradiction). Honest 0 (real review, no divergence). Not verified: full build-seed.sh render (needs local libterrain checkout, not on npm/env) and cross-repo provenance/renderer SHAs (internally consistent, flagged not claimed).",agent-shift,
2026-07-06,errors_found,0,count,exp-42-cycle6,"deep review of operator-setup topic (SETUP.md) vs source (all four agent-* workflows + deploy.yml + .claude/settings.json). Enumerated full secret/var inventory across all 13 workflows (rg -o secrets./vars.): documented set exactly matches — no undocumented-required-secret gap. Killswitch off-values (\"\"|0|false|no|off) match agent-dispatch case statement byte-for-byte; Stop hook = npx fit-wiki push; SessionStart curls pinned gear@v0.1.13/fit-install.sh from forwardimpact/monorepo (concrete gear@vX.Y.Z tag as documented); RAILWAY_TOKEN only in deploy. dispatch mints token via actions/create-github-app-token, other three via forwardimpact/kata-agent composite. Honest 0 (real review, no divergence). Not verified: App GitHub-side repo permissions (UI-configured, not in YAML); monorepo-setup is an upstream scaffolder skill, valid conceptual ref not a broken link.",agent-shift,
2026-07-06,errors_found,1,count,,"jobs-to-be-done: em-dash aside in JTBD.md intro (CLAUDE.md style) → PR #82; accuracy clean",agent-dispatch,28786796931
2026-07-06,docs_pages_over_ceiling,4,count,exp-42-cycle6,"EOD count after operator-setup reviewed to age 0: 4 of 11 rotation topics over ceiling (remaining never-reviewed: deployment, operations, functions-readme, infrastructure-readme). Distinct baseline day #3 (2026-07-04 day 1, 2026-07-05 day 2, 2026-07-06 day 3) per obstacle #40 — one honest EOD point for the day. RESTORED to durable main-repo track 2026-07-06 per PM ask#13, verbatim from pre-loss copy. NOTE: a concurrent agent-dispatch run (28786796931) re-reviewed jobs-to-be-done (already age-0) against a WIPED pool and recorded docs_pages_over_ceiling=9 — a wiped-baseline artifact, excluded here (true EOD stays 4; jobs-to-be-done was already reviewed 07-04, re-review does not change over-ceiling) and preserved in 2026.pre-collapse.raw.csv. That run's real em-dash finding (PR #82) is kept as the 07-06 errors_found=1 row above.",agent-shift,
2026-07-06,errors_found,1,count,exp-42-claude-md,"deep review of claude-md topic (CLAUDE.md) vs source. [accuracy] shared-libraries list (libcli,libui,libformat,libtemplate,librepl) omitted @forwardimpact/libutil — a direct cli/package.json dep imported in cli/bin/bionova-polaris.js:2 (createDefaultRuntime) and typed at cli/src/definition.js:21 (Runtime); as load-bearing as the listed librepl. Fixed PR #97 (fix/doc-claude-md-2026-07-06). All other claims verified accurate: personas match products/polaris/README.md, dir shape, just boot=seed up setup, lint/test/smoke recipes, 'just cli search --condition=diabetes'=verbatim definition.js:56 example, rg '<job ' finds 3 tags, FIT_TERRAIN matches build-seed.sh:13-18, Bun 1.2+ matches engines. Intro em-dash is enumerative (comma-list parenthetical, correct typography), not an aside — not flagged. NOTE: current wiki/technical-writer.md rotation pool (only jobs-to-be-done+claude-md age-0, rest never) is a fresh/restored table inconsistent with pre-07-06 metrics topic ids (root-orientation/cli-readme/synthetic-data/operator-setup); pool-reset flagged for curation, not reconciled in this cycle. docs_pages_over_ceiling not re-recorded (07-06 once-per-day row already present).",agent-dispatch,28796714706
2026-07-06,errors_found,1,count,exp-42-contributing,"deep review of contributing topic (CONTRIBUTING.md) vs source; one STYLE finding: intro em-dash aside (contributors — human and agent —, a two-item appositive with no internal commas) banned by CLAUDE.md writing style → comma pair (PR #100), matching JTBD fix PR #82; invariant-1 em-dash pair (lines 11-13) kept — comma-containing enumeration, correct typography. All technical claims re-verified accurate: invariants (generated domain, build-seed.sh+SOURCE/SEED.sha256, seed_embeddings.jsonl bind-mount, .coaligned/invariants scaffold), quality commands (package.json, libcoaligned devDep), security (.env.example, check-secrets GENUINELY ABSENT from workflows, check-audit.yml→audit-gate.js→audit-baseline.json, Deno pins std@0.224.0/supabase-js@2.110.0, spec 20 SC1-4 scope). NOT a duplicate: contributing already reviewed for accuracy today via PR #94 + 07-04 cycle2; this is a distinct style item. RECONCILED coverage map to the authoritative 11-topic metrics vocabulary (bad restoration had split root-orientation, dropped cli-readme/functions-readme/infrastructure-readme, pointed infrastructure at a missing README, marked covered topics never — caused this cycle re-picking contributing). docs_pages_over_ceiling stays 4.",agent-shift,
